fecha,jornada,equipo_local,equipo_visitante,goles_local,goles_visitante
,14,Los Andes,Godoy Cruz,1,0
,14,Alte. Brown,San Telmo,0,0
,14,Estudiantes,Colón,1,1
,14,Bolivar,Acassuso,1,0
,14,Colegiales,Güemes,4,1
,14,Dep. Madryn,Ferro,1,0
,14,Gimnasia (J),Temperley,1,0
,14,Almagro,San Martín,2,1
,14,CA Mitre,San Miguel,4,0
,14,Patronato,Chacarita,2,0
,14,Midland,Agropecuario,2,0
,14,Maipú,Chicago,1,0
,14,Quilmes,Tristan Suárez,0,1
,14,Gimnasia y Tiro,San Martín (T),1,0
,14,Defensores,Chaco For Ever,0,0
,14,All Boys,Morón,1,0
,15,Los Andes,Racing (Cba),2,0
,15,San Telmo,Bolivar,0,1
,15,Tristan Suárez,Colegiales,0,0
,15,San Miguel,Alte. Brown,1,0
,15,Chicago,Temperley,1,1
,15,Atlético Rafaela,Midland,1,0
,15,San Martín,Maipú,2,1
,15,Acassuso,Defensores,1,0
,15,Morón,Estudiantes,2,0
,15,Chacarita,Almagro,1,0
,15,Agropecuario,Quilmes,0,0
,15,Chaco For Ever,Dep. Madryn,1,2
,15,Ferro,Central Norte,1,0
,15,Godoy Cruz,All Boys,4,0
,15,Colón,CA Mitre,1,1
,15,Gimnasia y Tiro,Gimnasia (J),1,1
,15,Güemes,Patronato,1,0
,15,San Martín (T),Atlanta,0,1
,16,Racing (Cba),Ferro,0,0
,16,Colegiales,Agropecuario,0,0
,16,Estudiantes,Godoy Cruz,1,0
,16,All Boys,Los Andes,0,0
,16,Alte. Brown,Colón,1,1
,16,Defensores,San Telmo,1,0
,16,Atlanta,Gimnasia y Tiro,1,1
,16,Dep. Madryn,Acassuso,0,0
,16,Almagro,Güemes,2,0
,16,Bolivar,San Miguel,1,1
,16,Midland,San Martín (T),2,0
,16,CA Mitre,Morón,1,3
,16,Patronato,Tristan Suárez,1,1
,16,Temperley,San Martín,2,1
,16,Central Norte,Chaco For Ever,1,1
,16,Maipú,Chacarita,3,2
,16,Quilmes,Atlético Rafaela,2,0
,16,Gimnasia (J),Chicago,4,0
,17,Gimnasia y Tiro,Midland,1,0
,17,Atlanta,Gimnasia (J),3,0
,17,Los Andes,Estudiantes,0,0
,17,Acassuso,Central Norte,2,1
,17,San Miguel,Defensores,0,0
,17,San Martín,Chicago,1,0
,17,Atlético Rafaela,Colegiales,1,0
,17,Tristan Suárez,Almagro,0,0
,17,Morón,Alte. Brown,1,0
,17,San Telmo,Dep. Madryn,0,0
,17,All Boys,Racing (Cba),1,1
,17,Chacarita,Temperley,0,1
,17,Agropecuario,Patronato,1,1
,17,Chaco For Ever,Ferro,1,2
,17,Güemes,Maipú,1,0
,17,Godoy Cruz,CA Mitre,2,1
,17,Colón,Bolivar,0,0
,17,San Martín (T),Quilmes,0,0
,18,Midland,Atlanta,1,2
,18,Defensores,Colón,0,3
,18,Bolivar,Morón,1,2
,18,Gimnasia (J),San Martín,2,1
,18,Chicago,Chacarita,2,0
,18,Almagro,Agropecuario,2,1
,18,Colegiales,San Martín (T),2,0
,18,Quilmes,Gimnasia y Tiro,1,0
,4,San Telmo,Racing (Cba),2,0
,4,Bolivar,Estudiantes,1,2
,4,Almagro,Atlanta,2,0
,4,Colegiales,Quilmes,3,1
,4,Acassuso,San Miguel,0,2
,4,Chaco For Ever,Colón,1,0
,4,San Martín,Agropecuario,2,0
,4,Temperley,San Martín (T),1,1
,4,Dep. Madryn,Los Andes,2,1
,4,Ferro,Morón,1,0
,4,Defensores,All Boys,0,1
,4,Alte. Brown,CA Mitre,3,1
,4,Chacarita,Tristan Suárez,0,0
,4,Patronato,Midland,1,1
,4,Central Norte,Godoy Cruz,1,0
,4,Maipú,Gimnasia y Tiro,0,0
,4,Güemes,Gimnasia (J),1,3
,4,Chicago,Atlético Rafaela,0,0
,18,Alte. Brown,Godoy Cruz,1,0
,18,Dep. Madryn,San Miguel,2,2
,18,Estudiantes,All Boys,2,1
,18,Ferro,Acassuso,2,1
,18,Patronato,Atlético Rafaela,0,0
,18,Racing (Cba),Chaco For Ever,2,0
,18,CA Mitre,Los Andes,0,3
,18,Temperley,Güemes,4,1
,18,Central Norte,San Telmo,0,0
,18,Maipú,Tristan Suárez,0,1
